,journal,year,author,Name,Short-Id
0,American Economic Review,2000.0,D. Gale Johnson,D. Gale Johnson,pjo254
2,American Economic Review,2000.0,Boyan Jovanovic,Boyan Jovanovic,pjo20
4,American Economic Review,2000.0,Joe Peek,Joe Peek,ppe90
5,American Economic Review,2000.0,Larry Samuelson,Larry Samuelson,psa80
6,American Economic Review,2000.0,George J. Mailath,George J. Mailath,pma6
9,American Economic Review,2000.0,Roland Benabou,Roland Benabou,pbe27
14,American Economic Review,2000.0,Axel Ockenfels,Axel Ockenfels,poc7
15,American Economic Review,2000.0,Gary E. Bolton,Gary E. Bolton,pbo138
17,American Economic Review,2000.0,Daron Acemoglu,Daron Acemoglu,pac16
20,American Economic Review,2000.0,Dan Bernhardt,Dan Bernhardt,pbe65
22,American Economic Review,2000.0,Josef Falkinger,Josef Falkinger,pfa72
34,American Economic Review,2000.0,Frank Heinemann,Frank Heinemann,phe217
39,American Economic Review,2000.0,Lawrence H. Summers,Lawrence H. Summers,psu137
40,American Economic Review,2000.0,Myron S. Scholes,Myron S. Scholes,psc29
41,American Economic Review,2000.0,Simon Johnson,Simon Johnson,pjo44
44,American Economic Review,2000.0,Rene M. Stulz,Rene M. Stulz,pst226
51,American Economic Review,2000.0,Enrique G. Mendoza,Enrique G. Mendoza,pme30
55,American Economic Review,2000.0,Roberto Chang,Roberto Chang,pch80
56,American Economic Review,2000.0,David Colander,David Colander,pco85
57,American Economic Review,2000.0,Peter E. Kennedy,Peter E. Kennedy,pke194
58,American Economic Review,2000.0,Michael Parkin,Michael Parkin,ppa795
59,American Economic Review,2000.0,John B. Taylor,John B. Taylor,pta174
61,American Economic Review,2000.0,Michael Woodford,Michael Woodford,pwo3
64,American Economic Review,2000.0,Erik Hurst,Erik Hurst,phu87
66,American Economic Review,2000.0,John Leahy,John Leahy,ple189
67,American Economic Review,2000.0,N. Gregory Mankiw,N. Gregory Mankiw,pma131
69,American Economic Review,2000.0,Daron Acemoglu,Daron Acemoglu,pac16
70,American Economic Review,2000.0,Robert H. Bates,Robert H. Bates,pba472
71,American Economic Review,2000.0,Dilip Mookherjee,Dilip Mookherjee,pmo51
72,American Economic Review,2000.0,Pranab K. Bardhan,Pranab K. Bardhan,pba284
73,American Economic Review,2000.0,Dani Rodrik,Dani Rodrik,pro60
74,American Economic Review,2000.0,Susan Chun Zhu,Susan Chun Zhu,pzh95
75,American Economic Review,2000.0,Daniel Trefler,Daniel Trefler,ptr44
79,American Economic Review,2000.0,Robert C. Feenstra,Robert C. Feenstra,pfe116
82,American Economic Review,2000.0,Frank C. Lee,Frank C. Lee,ple242
83,American Economic Review,2000.0,Wulong Gu,Wulong Gu,pgu240
84,American Economic Review,2000.0,Jianmin Tang,Jianmin Tang,pta649
86,American Economic Review,2000.0,Wulong Gu,Wulong Gu,pgu240
87,American Economic Review,2000.0,Jianmin Tang,Jianmin Tang,pta649
88,American Economic Review,2000.0,Frank C. Lee,Frank C. Lee,ple242
90,American Economic Review,2000.0,Kevin M. Murphy,Kevin M. Murphy,pmu108
94,American Economic Review,2000.0,Richard Schmalensee,Richard Schmalensee,psc313
97,American Economic Review,2000.0,Sendhil Mullainathan,Sendhil Mullainathan,pmu103
98,American Economic Review,2000.0,Marianne Bertrand,Marianne Bertrand,pbe697
101,American Economic Review,2000.0,Manuel Trajtenberg,Manuel Trajtenberg,ptr35
105,American Economic Review,2000.0,Richard B. Freeman,Richard B. Freeman,pfr23
106,American Economic Review,2000.0,Joseph Farrell,Joseph Farrell,pfa35
107,American Economic Review,2000.0,Severin Borenstein,Severin Borenstein,pbo78
111,American Economic Review,2000.0,Ann Wolverton,Ann Wolverton,pwo159
112,American Economic Review,2000.0,Don Fullerton,Don Fullerton,pfu10
114,American Economic Review,2000.0,Eduardo Ley,Eduardo Ley,ple23
117,American Economic Review,2000.0,Brent R. Moulton,Brent R. Moulton,pmo70
118,American Economic Review,2000.0,William D. Nordhaus,William D. Nordhaus,pno115
121,American Economic Review,2000.0,Austan Goolsbee,Austan Goolsbee,pgo49
122,American Economic Review,2000.0,Jonathan M. Siegel,Jonathan M. Siegel,psi665
126,American Economic Review,2000.0,B. Douglas Bernheim,B. Douglas Bernheim,pbe81
132,American Economic Review,2000.0,David M. Cutler,David M. Cutler,pcu64
137,American Economic Review,2000.0,Ashwini Deshpande,Ashwini Deshpande,pde323
138,American Economic Review,2000.0,Michael Greenstone,Michael Greenstone,pgr38
140,American Economic Review,2000.0,Amitabh Chandra,Amitabh Chandra,pch893
143,American Economic Review,2000.0,Derek Neal,Derek Neal,pne138
145,American Economic Review,2000.0,James J. Heckman,James J. Heckman,phe22
154,American Economic Review,2000.0,Robert J. Willis,Robert J. Willis,pwi192
155,American Economic Review,2000.0,Nezih Guner,Nezih Guner,pgu40
156,American Economic Review,2000.0,Jeremy Greenwood,Jeremy Greenwood,pgr12
157,American Economic Review,2000.0,John A. Knowles,John A. Knowles,pkn1
158,American Economic Review,2000.0,Dennis Tao Yang,Dennis Tao Yang,pya100
160,American Economic Review,2000.0,Esther Duflo,Esther Duflo,pdu166
162,American Economic Review,2000.0,Jonathan Morduch,Jonathan Morduch,pmo75
166,American Economic Review,2000.0,George Loewenstein,George Loewenstein,plo51
168,American Economic Review,2000.0,Xavier Gabaix,Xavier Gabaix,pga174
171,American Economic Review,2000.0,Chinhui Juhn,Chinhui Juhn,pju42
172,American Economic Review,2000.0,Sandra E. Black,Sandra E. Black,pbl92
173,American Economic Review,2000.0,Thomas Lemieux,Thomas Lemieux,ple92
174,American Economic Review,2000.0,Nicole M. Fortin,Nicole M. Fortin,pfo101
175,American Economic Review,2000.0,Lawrence F. Katz,Lawrence F. Katz,pka266
176,American Economic Review,2000.0,Claudia Goldin,Claudia Goldin,pgo601
177,American Economic Review,2000.0,Ann L. Owen,Ann L. Owen,pow7
178,American Economic Review,2000.0,Elizabeth J. Jensen,Elizabeth J. Jensen,pje140
182,American Economic Review,2000.0,Robert W. Dimand,Robert W. Dimand,pdi197
183,American Economic Review,2000.0,Andrei Shleifer,Andrei Shleifer,psh93
184,American Economic Review,2000.0,John J. Siegfried,John J. Siegfried,psi31
185,American Economic Review,2000.0,John J. Siegfried,John J. Siegfried,psi31
186,American Economic Review,2000.0,John J. Siegfried,John J. Siegfried,psi31
189,American Economic Review,2000.0,Orley Ashenfelter,Orley Ashenfelter,pas9
197,American Economic Review,2000.0,John J. Siegfried,John J. Siegfried,psi31
199,American Economic Review,2000.0,Robert A. Mundell,Robert A. Mundell,pmu18
203,American Economic Review,2000.0,Harald Uhlig,Harald Uhlig,puh1
204,American Economic Review,2000.0,Lars Ljungqvist,Lars Ljungqvist,plj7
205,American Economic Review,2000.0,Jeffrey C. Fuhrer,Jeffrey C. Fuhrer,pfu8
213,American Economic Review,2000.0,Garey Ramey,Garey Ramey,pra338
215,American Economic Review,2000.0,Joel Watson,Joel Watson,pwa36
217,American Economic Review,2000.0,Wolfgang Pesendorfer,Wolfgang Pesendorfer,ppe7
218,American Economic Review,2000.0,Robert T. Deacon,Robert T. Deacon,pde469
219,American Economic Review,2000.0,Henning Bohn,Henning Bohn,pbo25
221,American Economic Review,2000.0,Emmanuelle Auriol,Emmanuelle Auriol,pau5
222,American Economic Review,2000.0,Peter Kooreman,Peter Kooreman,pko248
229,American Economic Review,2000.0,Kim-Sau Chung,Kim-Sau Chung,pch330
230,American Economic Review,2000.0,Jaewoo Lee,Jaewoo Lee,ple103
232,American Economic Review,2000.0,Kwanho Shin,Kwanho Shin,psh131
233,American Economic Review,2000.0,Jaewoo Lee,Jaewoo Lee,ple103
234,American Economic Review,2000.0,Michel Strawczynski,Michel Strawczynski,pst480
235,American Economic Review,2000.0,Momi Dahan,Momi Dahan,pda178
238,American Economic Review,2000.0,Marco Ottaviani,Marco Ottaviani,pot1
243,American Economic Review,2000.0,Raymond Robertson,Raymond Robertson,pro310
245,American Economic Review,2000.0,Susan Athey,Susan Athey,pat6
251,American Economic Review,2000.0,Oded Galor,Oded Galor,pga46
252,American Economic Review,2000.0,Peter Howitt,Peter Howitt,pho22
253,American Economic Review,2000.0,David Dollar,David Dollar,pdo54
254,American Economic Review,2000.0,Craig Burnside,Craig Burnside,pbu20
257,American Economic Review,2000.0,John Hassler,John Hassler,pha2
258,American Economic Review,2000.0,Jaume Ventura,Jaume Ventura,pve110
259,American Economic Review,2000.0,Francesco Caselli,Francesco Caselli,pca205
261,American Economic Review,2000.0,Martin J. Osborne,Martin J. Osborne,pos1
263,American Economic Review,2000.0,David E. M. Sappington,David E. M. Sappington,psa323
264,American Economic Review,2000.0,Tracy R. Lewis,Tracy R. Lewis,ple417
267,American Economic Review,2000.0,Joseph Henrich,Joseph Henrich,phe292
269,American Economic Review,2000.0,Ernst Fehr,Ernst Fehr,pfe29
270,American Economic Review,2000.0,R. Mark Isaac,R. Mark Isaac,pis15
275,American Economic Review,2000.0,Lones Smith,Lones Smith,psm1
276,American Economic Review,2000.0,Pascal St-Amour,Pascal St-Amour,pst64
277,American Economic Review,2000.0,Stephen Gordon,Stephen Gordon,pgo166
280,American Economic Review,2000.0,Jacob Glazer,Jacob Glazer,pgl69
283,American Economic Review,2000.0,Philippe Bacchetta,Philippe Bacchetta,pba111
284,American Economic Review,2000.0,Cormac O Grada,Cormac O Grada,pog2
285,American Economic Review,2000.0,Morgan Kelly,Morgan Kelly,pke135
288,American Economic Review,2000.0,Stephanie Schmitt-Grohe,Stephanie Schmitt-Grohe,psc44
295,American Economic Review,2000.0,Giovanni Maggi,Giovanni Maggi,pma1315
297,American Economic Review,2000.0,Enrico Spolaore,Enrico Spolaore,psp27
298,American Economic Review,2000.0,Alberto Alesina,Alberto Alesina,pal207
299,American Economic Review,2000.0,Romain Wacziarg,Romain Wacziarg,pwa67
300,American Economic Review,2000.0,Eran Yashiv,Eran Yashiv,pya27
304,American Economic Review,2000.0,William Wascher,William Wascher,pwa356
305,American Economic Review,2000.0,David Neumark,David Neumark,pne16
308,American Economic Review,2000.0,Alan S. Blinder,Alan S. Blinder,pbl41
309,American Economic Review,2000.0,Christopher Hanes,Christopher Hanes,pha665
312,American Economic Review,2000.0,Charles L. Evans,Charles L. Evans,pev23
315,American Economic Review,2000.0,William C. Strange,William C. Strange,pst178
316,American Economic Review,2000.0,Robert W. Helsley,Robert W. Helsley,phe158
318,American Economic Review,2000.0,Giacomo Corneo,Giacomo Corneo,pco636
319,American Economic Review,2000.0,Eckhard Janeba,Eckhard Janeba,pja312
321,American Economic Review,2000.0,Zhiqi Chen,Zhiqi Chen,pch481
325,American Economic Review,2001.0,John T. Warner,John T. Warner,pwa308
326,American Economic Review,2001.0,Larry H. P. Lang,Larry H. P. Lang,pla299
327,American Economic Review,2001.0,Mara Faccio,Mara Faccio,pfa220
328,American Economic Review,2001.0,Leslie Young,Leslie Young,pyo123
329,American Economic Review,2001.0,Richard H. Thaler,Richard H. Thaler,pth67
332,American Economic Review,2001.0,John Y. Campbell,John Y. Campbell,pca54
